municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-16,2024-11-12,1.3,16.75,-23.98,63.88,7.15,87.8971271560144,27.70300872309712
1008,2024-11-16,2024-11-12,0.18,19.75,-18.6,67.28,4.8,87.94650761740047,27.4760167182262
3004,2024-11-16,2024-11-12,0.93,24.16,8.21,82.03,3.88,87.90869872633574,26.9313601153792
3005,2024-11-16,2024-11-12,0.0,25.88,15.15,78.25,4.53,87.86804078949658,26.766798991811797
3008,2024-11-16,2024-11-12,0.01,23.06,15.15,76.93,3.55,88.07073522457357,26.80309155406488
3010,2024-11-16,2024-11-12,0.9,23.06,8.21,82.76,3.6,88.06861487878045,26.890689792229505
5016,2024-11-16,2024-11-12,0.0,26.6,15.65,76.39,5.83,87.55469563773501,26.481414393367597
6003,2024-11-16,2024-11-12,0.0,25.88,17.36,77.77,5.89,87.09771116866489,26.59183604433034
6007,2024-11-16,2024-11-12,0.0,26.47,14.74,78.62,7.08,87.19672555619026,26.560678557062
8001,2024-11-16,2024-11-12,0.52,19.75,8.49,82.76,3.41,87.66115158270199,27.214301572974936
8003,2024-11-16,2024-11-12,0.45,22.44,8.49,88.45,3.92,87.44812726483543,27.127990823175782
8006,2024-11-16,2024-11-12,0.64,19.38,8.49,88.02,4.14,87.58461013054594,27.180400656497696
10009,2024-11-16,2024-11-12,3.85,19.63,8.11,89.93,2.67,86.96602803573023,27.210508417866347
9002,2024-11-16,2024-11-12,0.09,22.72,5.71,84.46,2.71,87.36132449479186,27.30526087303312
9005,2024-11-16,2024-11-12,0.04,22.72,13.96,78.26,2.13,87.19300808673226,27.399039264555437
9007,2024-11-16,2024-11-12,0.48,14.85,-20.85,61.8,4.86,87.22505005780839,27.68477497975171
9009,2024-11-16,2024-11-12,0.02,21.72,6.55,73.16,3.24,87.36166113467456,27.44750334933956
55003,2024-11-16,2024-11-12,0.0,21.25,8.74,76.28,3.31,82.2912715867,28.355548724394996
55004,2024-11-16,2024-11-12,0.0,20.28,6.61,78.14,4.28,82.31179934479863,28.553136288933683
55007,2024-11-16,2024-11-12,0.0,21.25,8.74,76.25,3.27,82.35998258245561,28.25355153233521
55010,2024-11-16,2024-11-12,0.0,21.25,8.74,76.56,3.27,82.231187877201,28.281815065002448
65001,2024-11-16,2024-11-12,0.0,15.41,-6.13,39.63,5.33,82.16814992493904,29.532967936012252
65004,2024-11-16,2024-11-12,0.0,18.25,-2.29,41.73,4.55,81.98372859991967,29.62832292402619
60002,2024-11-16,2024-11-12,0.0,20.16,4.46,72.26,3.26,81.83052510999794,28.792776330356787
60005,2024-11-16,2024-11-12,0.0,21.72,9.08,74.36,3.87,81.60660047963165,28.831816828175175
60006,2024-11-16,2024-11-12,0.0,21.72,4.46,77.96,4.13,81.71925548605671,28.74857272293844
60009,2024-11-16,2024-11-12,0.0,21.72,4.46,72.32,4.25,81.73907018471336,28.861936730765475
57002,2024-11-16,2024-11-12,0.0,24.66,12.74,81.28,4.69,81.7046708193939,28.03063144888017
57005,2024-11-16,2024-11-12,0.0,24.1,10.52,81.61,4.1,81.71918782901814,28.215861098578127
70002,2024-11-16,2024-11-12,0.0,21.41,8.8,75.14,3.48,80.880703235942,29.021621865023427
70005,2024-11-16,2024-11-12,0.0,21.5,8.8,68.93,2.97,80.69908000601693,29.107876876777475
70008,2024-11-16,2024-11-12,0.0,20.94,7.71,71.44,3.77,80.97287803760098,29.373859260489585
70009,2024-11-16,2024-11-12,0.01,20.94,8.8,71.38,3.21,80.81920790381,29.23525727841573
77001,2024-11-16,2024-11-12,0.0,19.6,2.65,61.29,3.79,82.70006219371687,28.546293389302686
77003,2024-11-16,2024-11-12,0.0,19.63,-2.92,54.28,4.3,82.63797688876845,28.730359372964458
54006,2024-11-16,2024-11-12,0.0,19.63,6.61,77.84,4.96,82.42017205323258,28.56459073766825
6010,2024-11-16,2024-11-12,0.0,26.1,14.65,79.12,4.64,87.26501559539872,26.67276280994044
9004,2024-11-16,2024-11-12,0.38,22.72,9.27,88.13,2.55,87.34617049477372,27.20794386380421
9010,2024-11-16,2024-11-12,1.87,21.72,-20.85,72.88,4.24,87.05397323793964,27.56062049796888
11002,2024-11-16,2024-11-12,1.34,17.16,1.71,69.06,3.52,86.69294720202952,27.533318170170038
11003,2024-11-16,2024-11-12,0.54,12.63,-20.85,37.37,7.98,86.72676833996186,27.87754638828359
11004,2024-11-16,2024-11-12,0.13,15.06,3.81,68.1,3.2,86.43720044102864,27.556933846968658
11007,2024-11-16,2024-11-12,2.41,16.19,-9.42,60.93,3.72,86.57187606162067,27.574675587251168
14001,2024-11-16,2024-11-12,0.03,25.47,11.87,84.0,4.04,87.05011302971826,26.82457678669252
14003,2024-11-16,2024-11-12,0.0,26.25,13.24,77.48,5.22,86.3842192552636,26.99895844915385
14004,2024-11-16,2024-11-12,1.15,24.97,10.96,80.14,4.21,86.6712157651011,26.98209297065825
25001,2024-11-16,2024-11-12,0.0,21.94,6.99,84.72,2.94,85.3041092548405,27.484321910898924
25002,2024-11-16,2024-11-12,0.0,17.94,6.99,90.17,2.45,85.33558154743378,27.58455687528972
25003,2024-11-16,2024-11-12,0.0,21.1,6.99,82.24,3.21,85.35024138831888,27.53047639287835
26002,2024-11-16,2024-11-12,0.0,20.1,6.99,82.61,3.74,85.46272408847713,27.696266152604423
26004,2024-11-16,2024-11-12,0.0,17.94,6.99,88.76,2.59,85.42546460420431,27.64927297157717
1003,2024-11-16,2024-11-12,0.17,16.69,2.22,74.44,3.09,87.54502304960337,27.46546246470642
2007,2024-11-16,2024-11-12,0.0,22.44,10.96,86.9,4.51,87.57900113878084,26.98185352154763
3003,2024-11-16,2024-11-12,0.61,22.44,10.87,85.29,3.6,87.74928052779396,26.965667384057635
3007,2024-11-16,2024-11-12,0.05,24.16,10.87,80.82,3.72,87.72809878982399,26.8319576897196
4004,2024-11-16,2024-11-12,0.0,25.88,19.37,74.41,3.56,87.99403362921818,26.608794926564457
4012,2024-11-16,2024-11-12,0.01,26.41,16.86,80.84,4.33,87.73517217920993,26.6152473988361
5001,2024-11-16,2024-11-12,0.0,26.1,14.65,78.19,3.94,87.43951560345249,26.629695726158744
5008,2024-11-16,2024-11-12,0.0,26.47,14.74,76.59,6.94,87.34336700649065,26.487170971382216
10003,2024-11-16,2024-11-12,3.48,22.72,10.27,89.14,3.29,87.0581152597479,27.201989469109638
14007,2024-11-16,2024-11-12,0.05,25.97,10.96,78.54,5.27,86.69093982065064,26.80698207976648
31002,2024-11-16,2024-11-12,0.0,25.31,12.74,80.3,3.93,85.25281913306307,27.33247245681607
31005,2024-11-16,2024-11-12,0.01,17.38,8.18,91.58,2.3,85.19595016524877,27.593620979459917
31008,2024-11-16,2024-11-12,0.0,23.63,12.37,78.0,4.02,84.85137594066515,27.472569269092308
31010,2024-11-16,2024-11-12,0.0,22.41,8.18,84.98,3.18,85.08608381778276,27.651565937014706
34001,2024-11-16,2024-11-12,0.0,25.22,14.18,82.43,5.8,84.82733908761777,27.08292559233036
35003,2024-11-16,2024-11-12,0.0,25.06,13.05,80.35,3.87,84.58621929453848,27.709771198715103
35006,2024-11-16,2024-11-12,0.0,24.53,12.87,75.69,3.42,84.6896591396915,27.649405873067355
50001,2024-11-16,2024-11-12,0.0,25.11,14.9,76.87,2.75,83.15771438349256,27.685056406347464
50004,2024-11-16,2024-11-12,0.0,25.19,14.9,77.62,3.89,83.07233371628266,27.56399291605035
38001,2024-11-16,2024-11-12,0.0,23.0,11.46,83.77,3.67,84.4857376256941,27.875563073820167
38002,2024-11-16,2024-11-12,0.0,23.0,12.3,86.77,4.15,84.39401593188684,27.91893212189418
38008,2024-11-16,2024-11-12,0.0,23.0,13.55,86.37,2.24,84.16593271369815,28.00044752580472
42002,2024-11-16,2024-11-12,0.0,8.81,-16.73,24.8,11.51,83.94338453487164,29.035081683387272
42005,2024-11-16,2024-11-12,0.61,11.28,-13.16,53.25,5.9,83.61471771747095,28.68101217212114
45001,2024-11-16,2024-11-12,0.05,19.78,6.18,75.71,3.29,83.2413162820148,28.27148079354138
45004,2024-11-16,2024-11-12,0.15,19.78,2.65,70.78,3.43,83.14016526682762,28.394343694183306
45005,2024-11-16,2024-11-12,0.29,19.78,6.18,77.54,3.46,83.38978367405875,28.233043850851043
56001,2024-11-16,2024-11-12,0.0,24.28,10.99,78.51,4.49,82.08505271891153,28.17321009613343
56005,2024-11-16,2024-11-12,0.0,24.85,9.83,78.53,3.71,82.47694209118472,28.02333920311105
56006,2024-11-16,2024-11-12,0.0,24.85,11.46,78.03,4.65,82.41677142161319,27.91328555950532
56009,2024-11-16,2024-11-12,0.0,21.25,10.99,79.06,3.72,82.19148619005347,28.183005600357117
62002,2024-11-16,2024-11-12,0.0,8.19,-15.26,29.35,10.97,83.26514214622762,29.27414286931592
62004,2024-11-16,2024-11-12,0.0,8.19,-11.72,25.1,7.27,83.04709435324033,28.90512776249892
58003,2024-11-16,2024-11-12,0.0,24.91,13.83,82.11,4.86,81.38242357868424,28.323055743569213
58006,2024-11-16,2024-11-12,0.0,24.91,13.83,82.11,4.86,81.25871003017758,28.340284116623938
31099,2024-11-16,2024-11-12,0.0,24.53,13.27,76.3,3.9,84.70624431657369,27.49261535228162
1001,2024-11-16,2024-11-12,0.38,19.38,5.71,87.27,3.42,87.6193781190491,27.30957361098937
19012,2024-11-16,2024-11-12,0.0,26.13,13.83,79.73,6.68,85.68691274034707,26.91470429831354
21002,2024-11-16,2024-11-12,0.05,20.03,0.4,65.04,3.81,86.26427286814113,27.576394248581256
21004,2024-11-16,2024-11-12,0.07,20.6,6.12,84.54,4.12,86.1832745618281,27.43934745353523
34005,2024-11-16,2024-11-12,0.0,25.22,14.18,83.18,5.63,84.69399260554282,27.097078097723816
34007,2024-11-16,2024-11-12,0.0,24.44,14.18,83.41,4.66,84.73228851196892,27.20024739082908
34008,2024-11-16,2024-11-12,0.0,25.22,14.18,82.43,6.08,84.7264569554503,27.066026993073372
34010,2024-11-16,2024-11-12,0.0,25.22,13.9,81.8,5.45,84.88952623026042,27.171019162000707
34011,2024-11-16,2024-11-12,0.0,24.44,14.18,81.36,5.05,84.79020734847019,27.193245885183288
34012,2024-11-16,2024-11-12,0.0,25.22,14.18,82.43,5.8,84.76368630005305,27.07717182381579
34013,2024-11-16,2024-11-12,0.0,25.22,14.18,82.43,5.8,84.82558724572884,27.16672308960836
19004,2024-11-16,2024-11-12,0.0,25.63,14.43,76.51,5.59,85.43936435618616,26.92605438883508
21005,2024-11-16,2024-11-12,0.03,20.6,7.3,86.83,3.67,86.0643721548778,27.408813125557515
21006,2024-11-16,2024-11-12,0.09,22.16,10.33,84.46,4.03,86.14647421310649,27.31615902807735
21007,2024-11-16,2024-11-12,0.03,20.6,7.3,87.03,3.51,85.85586645812872,27.495758252532852
21008,2024-11-16,2024-11-12,0.63,20.03,-9.42,60.22,3.95,86.42243351715781,27.660969160959016
53001,2024-11-16,2024-11-12,0.0,19.63,4.71,70.38,3.85,82.54995198769927,28.480861838270563
53002,2024-11-16,2024-11-12,0.0,20.16,2.65,67.72,3.34,82.81681721225854,28.273400505530105
53007,2024-11-16,2024-11-12,0.07,20.16,2.65,64.74,3.36,82.82395132486793,28.375955461674906
6006,2024-11-16,2024-11-12,0.0,26.47,14.74,78.62,7.08,87.24649830798487,26.554564531771717
26001,2024-11-16,2024-11-12,0.0,17.94,6.99,88.76,2.59,85.4296209430214,27.675022523227053
49010,2024-11-16,2024-11-12,0.0,24.66,14.83,78.58,4.43,83.54802147221676,27.496216699202048
49011,2024-11-16,2024-11-12,0.0,25.11,12.02,79.33,2.99,83.30567820346135,27.71191878509594
49013,2024-11-16,2024-11-12,0.0,24.66,14.83,78.44,4.29,83.44238189812464,27.501346601007853
49014,2024-11-16,2024-11-12,0.0,24.66,17.55,74.3,2.81,83.39601732390047,27.566938725804373
49015,2024-11-16,2024-11-12,0.0,24.66,17.55,74.3,2.81,83.36876360438013,27.62238025074319
49016,2024-11-16,2024-11-12,0.0,24.66,16.33,74.04,3.33,83.48636554193398,27.608376871176866
53004,2024-11-16,2024-11-12,0.0,20.31,6.15,70.2,3.1,82.62618964074919,28.337236609214784
53005,2024-11-16,2024-11-12,0.0,21.1,9.83,80.62,3.28,82.5199263170998,28.18710064708752
53008,2024-11-16,2024-11-12,0.0,20.31,6.15,70.2,3.1,82.70702423336832,28.24741874061428
53009,2024-11-16,2024-11-12,0.0,19.6,3.08,60.39,3.89,82.74179874109348,28.46372671136668
6004,2024-11-16,2024-11-12,0.0,26.47,14.74,78.62,7.08,87.15065211842328,26.45252750216687
16009,2024-11-16,2024-11-12,0.0,26.25,15.12,74.02,5.52,86.17953809307132,26.86824787471248
19001,2024-11-16,2024-11-12,0.0,25.5,13.83,77.32,4.68,85.47724166862234,27.07773543317099
19003,2024-11-16,2024-11-12,0.0,25.5,13.83,77.9,5.7,85.45380923642666,26.981788770396143
19005,2024-11-16,2024-11-12,0.0,26.06,14.12,78.35,6.67,85.47268040486802,26.815437208507163
19006,2024-11-16,2024-11-12,0.0,26.06,13.83,79.74,6.78,85.60991236423035,26.890275211567417
19008,2024-11-16,2024-11-12,0.0,26.06,13.83,79.74,6.78,85.60054102472732,26.93755034223732
19010,2024-11-16,2024-11-12,0.0,25.63,14.43,76.51,5.59,85.44567206906083,26.844422530450373
19013,2024-11-16,2024-11-12,0.0,25.5,13.83,77.34,5.33,85.57424006678373,27.10063951566307
19014,2024-11-16,2024-11-12,0.0,25.5,13.21,79.87,5.83,85.69394521791432,27.00935067108752
19015,2024-11-16,2024-11-12,0.0,26.06,13.83,78.44,6.01,85.53686604042909,26.9411164754544
19016,2024-11-16,2024-11-12,0.0,26.06,14.12,78.35,6.67,85.50728566452042,26.858783195845582
19017,2024-11-16,2024-11-12,0.0,25.5,13.21,78.59,5.31,85.68904437404687,27.10291121291133
20002,2024-11-16,2024-11-12,0.05,23.47,9.9,82.39,3.53,85.78628284185064,27.343395929304386
1002,2024-11-16,2024-11-12,0.14,19.38,5.71,86.09,3.16,87.51328464647683,27.373653174120808
6009,2024-11-16,2024-11-12,0.0,25.81,17.36,77.44,5.87,87.16242112661124,26.607116134714808
20003,2024-11-16,2024-11-12,0.09,22.16,10.33,84.73,3.97,86.0675994944368,27.252217169295548
50007,2024-11-16,2024-11-12,0.0,25.22,14.9,77.98,4.6,83.13084592668233,27.509085627097623
50008,2024-11-16,2024-11-12,0.0,24.72,11.05,80.3,4.26,82.85250442185169,27.693684034126697
