municipality_id,forecast_date,forecasted_on,rainfall,tmax,tmin,relative_humidity,wind_speed,lat,lon
1005,2024-11-12,2024-11-12,7.18,16.08,-17.97,60.18,6.11,87.8971271560144,27.70300872309712
1005,2024-11-13,2024-11-12,2.26,16.75,-17.42,58.52,5.92,87.8971271560144,27.70300872309712
1005,2024-11-14,2024-11-12,1.09,17.43,-16.35,54.76,5.88,87.8971271560144,27.70300872309712
1005,2024-11-15,2024-11-12,0.7,17.45,-14.53,56.65,6.23,87.8971271560144,27.70300872309712
1005,2024-11-16,2024-11-12,1.3,16.75,-23.98,63.88,7.15,87.8971271560144,27.70300872309712
1005,2024-11-17,2024-11-12,9.37,15.53,-23.98,70.96,7.76,87.8971271560144,27.70300872309712
1005,2024-11-18,2024-11-12,13.89,16.08,-24.57,72.88,7.67,87.8971271560144,27.70300872309712
1005,2024-11-19,2024-11-12,15.89,15.06,-24.57,76.97,6.25,87.8971271560144,27.70300872309712
1005,2024-11-20,2024-11-12,6.09,14.67,-23.26,58.51,5.37,87.8971271560144,27.70300872309712
1005,2024-11-21,2024-11-12,2.07,16.15,-17.02,46.32,5.55,87.8971271560144,27.70300872309712
1008,2024-11-12,2024-11-12,0.31,19.3,-17.66,66.46,4.8,87.94650761740047,27.476016718226198
1008,2024-11-13,2024-11-12,0.25,19.93,-15.14,65.07,4.82,87.94650761740047,27.476016718226198
1008,2024-11-14,2024-11-12,0.07,20.18,-13.44,60.45,4.68,87.94650761740047,27.476016718226198
1008,2024-11-15,2024-11-12,0.02,20.2,-11.7,60.44,4.83,87.94650761740047,27.476016718226198
1008,2024-11-16,2024-11-12,0.18,19.75,-18.6,67.28,4.8,87.94650761740047,27.476016718226198
1008,2024-11-17,2024-11-12,0.61,18.99,-18.6,74.21,4.93,87.94650761740047,27.476016718226198
1008,2024-11-18,2024-11-12,0.44,18.93,-20.17,76.98,5.01,87.94650761740047,27.476016718226198
1008,2024-11-19,2024-11-12,0.48,18.31,-20.17,78.49,4.49,87.94650761740047,27.476016718226198
1008,2024-11-20,2024-11-12,0.65,17.64,-18.76,66.14,4.32,87.94650761740047,27.476016718226198
1008,2024-11-21,2024-11-12,0.11,18.68,-17.02,53.82,4.42,87.94650761740047,27.476016718226198
3004,2024-11-12,2024-11-12,0.53,25.36,8.19,79.9,3.54,87.90869872633574,26.9313601153792
3004,2024-11-13,2024-11-12,2.09,24.4,8.19,82.48,3.86,87.90869872633574,26.9313601153792
3004,2024-11-14,2024-11-12,1.06,25.56,8.33,80.04,3.98,87.90869872633574,26.9313601153792
3004,2024-11-15,2024-11-12,0.23,25.35,8.33,77.87,3.68,87.90869872633574,26.9313601153792
3004,2024-11-16,2024-11-12,0.93,24.16,8.21,82.03,3.88,87.90869872633574,26.9313601153792
3004,2024-11-17,2024-11-12,1.87,24.53,8.05,84.86,3.6,87.90869872633574,26.9313601153792
3004,2024-11-18,2024-11-12,1.4,24.9,6.99,83.19,4.22,87.90869872633574,26.9313601153792
3004,2024-11-19,2024-11-12,1.0,25.31,6.99,75.78,4.21,87.90869872633574,26.9313601153792
3004,2024-11-20,2024-11-12,0.84,25.45,6.69,71.38,4.75,87.90869872633574,26.9313601153792
3004,2024-11-21,2024-11-12,0.0,26.65,6.69,64.31,4.62,87.90869872633574,26.9313601153792
3005,2024-11-12,2024-11-12,0.19,27.8,14.28,76.15,4.26,87.86804078949658,26.766798991811793
3005,2024-11-13,2024-11-12,0.82,26.9,14.28,77.91,4.84,87.86804078949658,26.766798991811793
